iter	Passed	Remaining
414	3024	4264
415	3032	4257
416	3039	4249
417	3045	4240
418	3051	4231
419	3058	4222
420	3065	4216
421	3073	4209
422	3080	4201
423	3086	4193
424	3093	4185
425	3101	4179
426	3108	4171
427	3114	4162
428	3120	4153
429	3126	4144
430	3134	4138
431	3140	4129
432	3147	4121
433	3153	4112
434	3160	4104
435	3167	4097
436	3173	4088
437	3180	4080
438	3186	4071
439	3194	4065
440	3200	4057
441	3207	4048
442	3213	4040
443	3219	4031
444	3227	4025
445	3234	4017
446	3240	4008
447	3246	3999
448	3252	3991
449	3260	3985
450	3267	3977
451	3273	3968
452	3279	3959
453	3285	3951
454	3292	3944
455	3299	3936
456	3307	3929
457	3313	3921
458	3319	3912
459	3327	3906
460	3334	3898
461	3340	3890
462	3346	3881
463	3352	3873
464	3360	3866
465	3366	3857
466	3372	3849
467	3378	3841
468	3385	3832
469	3393	3826
470	3399	3818
471	3405	3809
472	3411	3801
473	3418	3793
474	3426	3787
475	3432	3778
476	3438	3770
477	3444	3762
478	3451	3754
479	3459	3747
480	3465	3739
481	3471	3731
482	3478	3723
483	3486	3717
484	3492	3708
485	3499	3701
486	3506	3693
487	3513	3686
488	3522	3681
489	3529	3673
490	3536	3665
491	3542	3657
492	3549	3649
493	3556	3643
494	3563	3635
495	3570	3627
496	3576	3619
497	3584	3613
498	3591	3605
499	3597	3597
500	3617	3603
501	3629	3600
502	3635	3592
503	3642	3584
504	3649	3577
505	3656	3570
506	3663	3561
507	3669	3553
508	3675	3545
509	3684	3540
510	3690	3531
511	3696	3523
512	3703	3515
513	3709	3507
514	3718	3501
515	3724	3493
516	3731	3486
517	3738	3478
518	3745	3471
519	3752	3464
520	3758	3455
521	3765	3447
522	3771	3439
523	3778	3432
524	3785	3424
525	3791	3417
526	3797	3408
527	3804	3400
528	3810	3392
529	3818	3386
530	3825	3378
531	3831	3370
532	3837	3362
533	3844	3354
534	3852	3348
535	3859	3341
536	3865	3332
537	3871	3324
538	3879	3318
539	3885	3310
540	3892	3302
541	3898	3294
542	3905	3286
543	3913	3280
544	3920	3272
545	3926	3265
546	3933	3257
547	3941	3251
548	3947	3243
549	3954	3235
550	3960	3227
551	3966	3219
552	3974	3212
553	3980	3204
554	3986	3196
555	3992	3188
556	3999	3180
557	4005	3173
558	4013	3166
559	4019	3158
560	4025	3150
561	4031	3142
562	4039	3135
563	4046	3128
564	4052	3120
565	4058	3112
566	4064	3104
567	4072	3097
568	4079	3089
569	4085	3082
570	4091	3074
571	4097	3066
572	4106	3059
573	4112	3052
574	4118	3044
575	4125	3036
576	4132	3029
577	4140	3023
578	4146	3015
579	4152	3007
580	4159	2999
581	4165	2991
582	4173	2985
583	4179	2977
584	4186	2969
585	4192	2961
586	4198	2953
587	4207	2947
588	4212	2939
589	4218	2931
590	4224	2923
591	4231	2916
592	4240	2910
593	4246	2902
594	4252	2894
595	4258	2886
596	4265	2879
597	4273	2872
598	4279	2865
599	4285	2857
600	4291	2849
601	4299	2842
602	4306	2835
603	4313	2828
604	4320	2820
605	4326	2813
606	4335	2806
607	4340	2798
608	4347	2791
609	4352	2783
610	4358	2775
611	4366	2768
612	4372	2760
613	4378	2752
614	4384	2744
615	4390	2736
616	4398	2730
617	4404	2722
618	4410	2714
619	4416	2706
620	4422	2699
621	4430	2692
622	4437	2685
623	4443	2677
624	4449	2669
625	4455	2661
626	4464	2655
627	4470	2648
628	4477	2640
629	4483	2632
630	4488	2625
631	4497	2618
632	4503	2610
633	4509	2603
634	4515	2595
635	4521	2587
636	4530	2581
637	4536	2574
638	4543	2566
639	4550	2559
640	4558	2552
641	4564	2545
642	4571	2537
643	4577	2530
644	4583	2522
645	4590	2515
646	4598	2509
647	4605	2501
648	4611	2493
649	4617	2486
650	4625	2479
651	4632	2472
652	4639	2465
653	4646	2458
654	4652	2450
655	4660	2443
656	4666	2436
657	4673	2429
658	4679	2421
659	4686	2414
660	4693	2407
661	4699	2399
662	4706	2392
663	4712	2384
664	4719	2377
665	4726	2370
666	4732	2362
667	4739	2355
668	4745	2347
669	4754	2341
670	4761	2334
671	4767	2327
672	4773	2319
673	4779	2311
674	4787	2305
675	4793	2297
676	4799	2289
677	4805	2282
678	4811	2274
679	4824	2270
680	4830	2262
681	4836	2255
682	4842	2247
683	4849	2240
684	4857	2233
685	4863	2226
686	4869	2218
687	4875	2211
688	4883	2204
689	4889	2196
690	4896	2189
691	4902	2182
692	4908	2174
693	4916	2167
694	4922	2160
695	4928	2152
696	4934	2145
697	4940	2137
698	4948	2131
699	4955	2123
700	4962	2116
701	4969	2109
702	4975	2101
703	4983	2095
704	4989	2087
705	4995	2080
706	5001	2072
707	5007	2065
708	5016	2058
709	5022	2051
710	5029	2044
711	5035	2036
712	5041	2029
713	5050	2022
714	5056	2015
715	5062	2007
716	5068	2000
717	5074	1993
718	5082	1986
719	5088	1978
720	5094	1971
721	5100	1963
722	5108	1957
723	5115	1949
724	5121	1942
725	5127	1935
726	5133	1927
727	5141	1921
728	5148	1913
729	5155	1906
730	5161	1899
731	5168	1892
732	5176	1885
733	5183	1878
734	5189	1871
735	5195	1863
736	5201	1856
737	5210	1849
738	5217	1842
739	5223	1835
740	5229	1827
741	5236	1820
742	5244	1814
743	5251	1806
744	5257	1799
745	5263	1792
746	5271	1785
747	5278	1778
748	5284	1770
749	5291	1763
750	5297	1756
751	5304	1749
752	5311	1742
753	5317	1734
754	5323	1727
755	5329	1720
756	5335	1712
757	5343	1705
758	5349	1698
759	5355	1691
760	5362	1684
761	5369	1677
762	5377	1670
763	5384	1663
764	5390	1656
765	5396	1648
766	5405	1642
767	5411	1634
768	5418	1627
769	5424	1620
770	5430	1613
771	5439	1606
772	5445	1599
773	5451	1591
774	5457	1584
775	5464	1577
776	5472	1570
777	5478	1563
778	5484	1555
779	5490	1548
780	5497	1541
781	5504	1534
782	5510	1527
783	5516	1519
784	5522	1512
785	5529	1505
786	5536	1498
787	5542	1491
788	5548	1483
789	5554	1476
790	5561	1469
791	5569	1462
792	5576	1455
793	5582	1448
794	5588	1441
795	5596	1434
796	5604	1427
797	5611	1420
798	5617	1413
799	5622	1405
800	5631	1399
801	5637	1391
802	5643	1384
803	5649	1377
804	5655	1369
805	5663	1363
806	5670	1356
807	5675	1348
808	5681	1341
809	5687	1334
810	5695	1327
811	5701	1320
812	5707	1312
813	5713	1305
814	5720	1298
815	5726	1291
816	5733	1284
817	5739	1277
818	5745	1269
819	5752	1262
820	5759	1255
821	5766	1248
822	5773	1241
823	5779	1234
824	5785	1227
825	5794	1220
826	5801	1213
827	5808	1206
828	5814	1199
829	5820	1192
830	5827	1185
831	5833	1178
832	5839	1170
833	5845	1163
834	5849	1155
835	5858	1149
836	5864	1142
837	5870	1134
838	5875	1127
839	5881	1120
840	5888	1113
841	5894	1106
842	5899	1098
843	5905	1091
844	5910	1084
845	5915	1076
846	5935	1072
847	5942	1065
848	5947	1057
849	5954	1050
850	5962	1043
851	5967	1036
852	5973	1029
853	5979	1022
854	5987	1015
855	5995	1008
856	6001	1001
857	6007	994
858	6013	987
859	6021	980
860	6027	973
861	6033	965
862	6039	958
863	6045	951
864	6054	944
865	6060	937
866	6066	930
867	6072	923
868	6077	916
869	6085	909
870	6091	902
871	6097	895
872	6103	887
873	6110	880
874	6117	873
875	6124	866
876	6130	859
877	6136	852
878	6142	845
879	6155	839
880	6161	832
881	6167	825
882	6173	817
883	6181	811
884	6188	804
885	6195	797
886	6202	790
887	6208	783
888	6216	776
889	6222	769
890	6228	761
891	6234	754
892	6240	747
893	6246	740
894	6252	733
895	6257	726
896	6263	719
897	6268	711
898	6274	704
899	6282	698
900	6288	690
901	6293	683
902	6298	676
903	6302	669
904	6309	662
905	6315	655
906	6321	648
907	6326	641
908	6331	633
909	6337	626
910	6343	619
911	6350	612
912	6354	605
913	6360	598
914	6365	591
915	6371	584
916	6379	577
917	6385	570
918	6391	563
919	6397	556
920	6404	549
921	6412	542
922	6418	535
923	6423	528
924	6429	521
925	6434	514
926	6441	507
927	6447	500
928	6454	493
929	6460	486
930	6464	479
931	6473	472
932	6480	465
933	6486	458
934	6492	451
935	6498	444
936	6505	437
937	6512	430
938	6518	423
939	6524	416
940	6531	409
941	6537	402
942	6549	395
943	6555	388
944	6561	381
945	6568	374
946	6576	368
947	6582	361
948	6587	353
949	6592	346
950	6597	339
951	6605	333
952	6610	326
953	6617	319
954	6623	312
955	6628	305
956	6636	298
957	6642	291
958	6647	284
959	6653	277
960	6658	270
961	6664	263
962	6671	256
963	6677	249
964	6683	242
965	6689	235
966	6695	228
967	6702	221
968	6707	214
969	6713	207
970	6719	200
971	6723	193
972	6728	186
973	6737	179
974	6741	172
975	6747	165
976	6752	158
977	6757	152
978	6762	145
979	6769	138
980	6774	131
981	6781	124
982	6786	117
983	6791	110
984	6799	103
985	6804	96
986	6810	89
987	6815	82
988	6822	75
989	6828	68
990	6833	62
991	6839	55
992	6844	48
993	6850	41
994	6856	34
995	6864	27
996	6870	20
997	6876	13
998	6882	6
999	6886	0
