,지역명,평당분양가격,연도,월
705,세종,9018.9,2017,6
706,강원,7032.299999999999,2017,6
707,충북,6741.9,2017,6
708,충남,7504.2,2017,6
709,전북,7263.299999999999,2017,6
710,전남,7085.099999999999,2017,6
711,경북,7863.9,2017,6
712,경남,8065.2,2017,6
713,제주,10804.2,2017,6
714,서울,21690.9,2017,7
715,인천,10962.6,2017,7
716,경기,11975.7,2017,7
717,부산,11926.2,2017,7
718,대구,12771.0,2017,7
719,광주,9550.2,2017,7
720,대전,9035.4,2017,7
721,울산,11820.6,2017,7
722,세종,9018.9,2017,7
723,강원,7081.799999999999,2017,7
724,충북,6741.9,2017,7
725,충남,7507.5,2017,7
726,전북,7243.5,2017,7
727,전남,7085.099999999999,2017,7
728,경북,7860.599999999999,2017,7
729,경남,8134.5,2017,7
730,제주,11005.5,2017,7
731,서울,20367.6,2017,8
732,인천,10800.9,2017,8
733,경기,12015.3,2017,8
734,부산,11843.7,2017,8
735,대구,13180.2,2017,8
736,광주,9579.9,2017,8
737,대전,9035.4,2017,8
738,울산,11820.6,2017,8
739,세종,9022.2,2017,8
740,강원,7484.4,2017,8
741,충북,6765.0,2017,8
742,충남,7448.099999999999,2017,8
743,전북,7289.7,2017,8
744,전남,7306.2,2017,8
745,경북,8055.299999999999,2017,8
746,경남,8299.5,2017,8
747,제주,11005.5,2017,8
748,서울,21473.1,2017,9
749,인천,10896.6,2017,9
750,경기,11972.4,2017,9
751,부산,11860.2,2017,9
752,대구,12668.7,2017,9
753,광주,9718.5,2017,9
754,대전,9550.2,2017,9
755,울산,11820.6,2017,9
756,세종,9101.4,2017,9
757,강원,7375.5,2017,9
758,충북,6778.2,2017,9
759,충남,7448.099999999999,2017,9
760,전북,7322.7,2017,9
761,전남,7306.2,2017,9
762,경북,8015.7,2017,9
763,경남,8283.0,2017,9
764,제주,10632.6,2017,9
765,서울,21707.4,2017,10
766,인천,10890.0,2017,10
767,경기,11962.5,2017,10
768,부산,12285.9,2017,10
769,대구,12668.7,2017,10
770,광주,9609.6,2017,10
771,대전,9005.699999999999,2017,10
772,울산,11170.5,2017,10
773,세종,9104.7,2017,10
774,강원,7520.7,2017,10
775,충북,6798.0,2017,10
776,충남,7533.9,2017,10
777,전북,7200.599999999999,2017,10
778,전남,7606.5,2017,10
779,경북,7811.099999999999,2017,10
780,경남,8038.799999999999,2017,10
781,제주,10632.6,2017,10
782,서울,21968.1,2017,11
783,인천,10890.0,2017,11
784,경기,11738.1,2017,11
785,부산,12606.0,2017,11
786,대구,12071.4,2017,11
787,광주,9553.5,2017,11
788,대전,9180.6,2017,11
789,울산,11134.2,2017,11
790,세종,9108.0,2017,11
791,강원,7652.7,2017,11
792,충북,6854.099999999999,2017,11
793,충남,7451.4,2017,11
794,전북,7260.0,2017,11
795,전남,7883.7,2017,11
796,경북,7887.0,2017,11
797,경남,8649.3,2017,11
798,제주,11748.0,2017,11
799,서울,22129.8,2017,12
800,인천,10949.4,2017,12
801,경기,11936.1,2017,12
802,부산,12678.6,2017,12
803,대구,11751.3,2017,12
804,광주,9556.8,2017,12
805,대전,8929.8,2017,12
806,울산,10434.6,2017,12
807,세종,10431.3,2017,12
808,강원,7596.599999999999,2017,12
809,충북,6854.099999999999,2017,12
810,충남,7778.099999999999,2017,12
811,전북,7345.799999999999,2017,12
812,전남,7920.0,2017,12
813,경북,7887.0,2017,12
814,경남,8896.8,2017,12
815,제주,11807.4,2017,12
816,서울,21855.9,2018,1
817,인천,10998.9,2018,1
818,경기,12691.8,2018,1
819,부산,12678.6,2018,1
820,대구,11830.5,2018,1
821,광주,9550.2,2018,1
822,대전,9055.2,2018,1
823,울산,10434.6,2018,1
824,세종,10431.3,2018,1
825,강원,7669.2,2018,1
826,충북,6854.099999999999,2018,1
827,충남,7900.2,2018,1
828,전북,7345.799999999999,2018,1
829,전남,7920.0,2018,1
830,경북,8055.299999999999,2018,1
831,경남,8896.8,2018,1
832,제주,11998.8,2018,1
833,서울,21882.3,2018,2
834,인천,11028.6,2018,2
835,경기,12790.8,2018,2
836,부산,12705.0,2018,2
837,대구,11101.2,2018,2
838,광주,9550.2,2018,2
839,대전,9527.1,2018,2
840,울산,10474.2,2018,2
841,세종,10431.3,2018,2
842,강원,7665.9,2018,2
843,충북,7147.799999999999,2018,2
844,충남,7900.2,2018,2
845,전북,7500.9,2018,2
846,전남,7774.799999999999,2018,2
847,경북,8055.299999999999,2018,2
848,경남,8903.4,2018,2
849,제주,12635.7,2018,2
850,서울,22558.8,2018,3
851,인천,11408.1,2018,3
852,경기,12790.8,2018,3
853,부산,12596.1,2018,3
854,대구,11193.6,2018,3
855,광주,9669.0,2018,3
856,대전,9527.1,2018,3
857,울산,10474.2,2018,3
858,세종,10431.3,2018,3
859,강원,7890.299999999999,2018,3
860,충북,8101.5,2018,3
861,충남,7900.2,2018,3
862,전북,7467.9,2018,3
863,전남,7748.4,2018,3
864,경북,8052.0,2018,3
